Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,directLink
DdGWAMpYGU2fB2wPKzKrQrPy9fEE6uMUBFomHmz54cJq,5.80%,"$3,134.28","$2,506.26",37.50%,35.29%,[],https://gmgn.ai/sol/address/DdGWAMpYGU2fB2wPKzKrQrPy9fEE6uMUBFomHmz54cJq
Dc9F3Fz3HtzStS47BySBab5KqWagoo9kevEAfUy9ErT2,472.71%,"$1,869.36","$1,869.36",?,?,[],https://gmgn.ai/sol/address/Dc9F3Fz3HtzStS47BySBab5KqWagoo9kevEAfUy9ErT2
DeQnh3zySGc3gtxBRJ1XP8VbKiTPXUexa2A37XKbLLNB,0.40%,$568.08,$568.08,?,?,[],https://gmgn.ai/sol/address/DeQnh3zySGc3gtxBRJ1XP8VbKiTPXUexa2A37XKbLLNB
DfhbabreNsifkLMz8gaKTWp7kVooqFJdNruDEunzdeQ7,-24.04%,"$-19,118.56","$-22,027.72",31.03%,30.30%,[],https://gmgn.ai/sol/address/DfhbabreNsifkLMz8gaKTWp7kVooqFJdNruDEunzdeQ7
DepkktFF3dx3tvXXNButWYCWCSGEzLqGcCbvMR1udsyq,519.07%,$235.40,$235.40,?,?,[],https://gmgn.ai/sol/address/DepkktFF3dx3tvXXNButWYCWCSGEzLqGcCbvMR1udsyq
DreqwL6A5H15KyskSvEBJEKsUfgg9CVaw5f49APrkhtn,-2.26%,$-24.46,$-353.71,20.00%,23.81%,[],https://gmgn.ai/sol/address/DreqwL6A5H15KyskSvEBJEKsUfgg9CVaw5f49APrkhtn
DtmjXJcg3NHRMKWgHNMbh1fJECVBaBDTDmH8wWCZRLzH,-7.04%,$-69.84,$-69.84,52.38%,52.38%,[],https://gmgn.ai/sol/address/DtmjXJcg3NHRMKWgHNMbh1fJECVBaBDTDmH8wWCZRLzH
E566Q554EhVNs9GZFecVvFMUVDhLN42eTqZSzZRJ4UAr,-0.80%,$-376.36,$-376.36,?,?,[],https://gmgn.ai/sol/address/E566Q554EhVNs9GZFecVvFMUVDhLN42eTqZSzZRJ4UAr
E8TLi4H5vY6R88gjWWNrYQjncBXavvNFWuksSxYxEbNn,23.69%,$371.85,"$2,021.64",94.74%,89.66%,[],https://gmgn.ai/sol/address/E8TLi4H5vY6R88gjWWNrYQjncBXavvNFWuksSxYxEbNn
DuosnydFkjpatiKc3y2Q8aVBb7rD4hEcdmPX5sHs9gG7,16.18%,"$2,071.28","$6,114.78",?,?,[],https://gmgn.ai/sol/address/DuosnydFkjpatiKc3y2Q8aVBb7rD4hEcdmPX5sHs9gG7
DkTX2fCYjgFnku6BqvGheBJyXJcXNkG55NHhZk4YGE7w,2.44%,$-671.48,$-951.09,37.18%,33.17%,[],https://gmgn.ai/sol/address/DkTX2fCYjgFnku6BqvGheBJyXJcXNkG55NHhZk4YGE7w
E12GGfKRkAMp1SRZEBeQ1fMctksaYxMJvhZV7bECUrF,-10.40%,$-128.58,$-342.78,24.59%,22.41%,[],https://gmgn.ai/sol/address/E12GGfKRkAMp1SRZEBeQ1fMctksaYxMJvhZV7bECUrF
EKoo2QrTGt2YxHx8XwHrrJw2PkcgPDkgPNRbLt1qXTvy,-14.57%,"$-32,121.63","$-30,746.40",?,?,[],https://gmgn.ai/sol/address/EKoo2QrTGt2YxHx8XwHrrJw2PkcgPDkgPNRbLt1qXTvy
EGcrxQCYzgiM8MCnF9xjwgWtsL791vRXAK7AsnUiogDh,13.68%,"$10,066.18","$28,099.04",44.44%,47.17%,[],https://gmgn.ai/sol/address/EGcrxQCYzgiM8MCnF9xjwgWtsL791vRXAK7AsnUiogDh
EWsG3EDFvgsXae6gVLRmJ5HzBvtdeiDe9REVCyuzyxCe,31.44%,$21.86,$21.86,57.14%,57.14%,[],https://gmgn.ai/sol/address/EWsG3EDFvgsXae6gVLRmJ5HzBvtdeiDe9REVCyuzyxCe
EXHsRWRozowAqMdrNZqytzfXibe2aC8KeFSaXXi41z4k,4.42%,$241.25,$751.71,?,?,[],https://gmgn.ai/sol/address/EXHsRWRozowAqMdrNZqytzfXibe2aC8KeFSaXXi41z4k
EYnfutxfi7anp2hLPwNYZxPDokMbj7oLaFyGr8JeHhML,2.18%,$644.23,$644.23,?,?,[],https://gmgn.ai/sol/address/EYnfutxfi7anp2hLPwNYZxPDokMbj7oLaFyGr8JeHhML
EX9Dq3EvnxwqPa9iJXcrFRFYyXub9jM4w3VxeeTy8zFT,3.87%,$444.71,"$6,006.56",60.56%,70.62%,[],https://gmgn.ai/sol/address/EX9Dq3EvnxwqPa9iJXcrFRFYyXub9jM4w3VxeeTy8zFT
EaainwaWfnYwKkZQjhd7SLgjr4FF7LhNKX8CDHpxgkAK,3.21%,$114.07,$128.38,?,?,[],https://gmgn.ai/sol/address/EaainwaWfnYwKkZQjhd7SLgjr4FF7LhNKX8CDHpxgkAK
EcJWNtETrzdbj8s2dXpaE4Tu4r7fxALD6TNw9H8S6ksz,7.75%,"$5,119.74","$164,733.21",39.38%,49.05%,[],https://gmgn.ai/sol/address/EcJWNtETrzdbj8s2dXpaE4Tu4r7fxALD6TNw9H8S6ksz
EcqxXsnc6am1NQzjuo9u1SqTXzCcMw9RriB6fUJnSrvw,-28.87%,$-81.77,$-81.77,?,?,[],https://gmgn.ai/sol/address/EcqxXsnc6am1NQzjuo9u1SqTXzCcMw9RriB6fUJnSrvw
EnQLCLB7NWojruXXNopgH7jhkwoHihTpuzsrtsM2UCSe,9.53%,"$19,878.61","$19,442.44",34.29%,29.38%,[],https://gmgn.ai/sol/address/EnQLCLB7NWojruXXNopgH7jhkwoHihTpuzsrtsM2UCSe
EgGv1fWAwetJpF9ZxjU2kHD6NxHkXr2XH8v3jjXCrred,6.42%,"$8,352.26","$8,878.27",60.50%,50.26%,[],https://gmgn.ai/sol/address/EgGv1fWAwetJpF9ZxjU2kHD6NxHkXr2XH8v3jjXCrred
Ep42nExonCSkeXx2Lbu8uVaJMBb63VNcysHu7t2Zp6Ln,-2.88%,$-615.63,$-536.22,?,?,[],https://gmgn.ai/sol/address/Ep42nExonCSkeXx2Lbu8uVaJMBb63VNcysHu7t2Zp6Ln
Eq6FwUHYFkxJkykHBiojCAhMuKzn5XtYDTjUN2dAE49d,-23.77%,"$-1,997.85","$-3,738.13",16.78%,17.51%,[],https://gmgn.ai/sol/address/Eq6FwUHYFkxJkykHBiojCAhMuKzn5XtYDTjUN2dAE49d
EaXKQT47HiTKa9U42E1G9zHEupzfdVUVLUBuxpcbwt2Y,0.34%,$-482.63,"$-1,212.86",?,?,[],https://gmgn.ai/sol/address/EaXKQT47HiTKa9U42E1G9zHEupzfdVUVLUBuxpcbwt2Y
FJYAgw9Xj31zo8SymiDDoyGvL6nNEHVaFbQrjjxLEcRg,7.01%,"$1,215.86","$3,799.90",?,?,[],https://gmgn.ai/sol/address/FJYAgw9Xj31zo8SymiDDoyGvL6nNEHVaFbQrjjxLEcRg
F1QUQtKDVwrJ3AzCJqo2qTSVRZ1fHKAFpXDcWbqLz5py,16.46%,"$2,918.15","$17,989.50",54.23%,53.45%,[],https://gmgn.ai/sol/address/F1QUQtKDVwrJ3AzCJqo2qTSVRZ1fHKAFpXDcWbqLz5py
FAsq1WfZ7zayvC5R2WgikpK4g7DeAoNJe1L6F4YsumTG,6.99%,"$1,785.82","$2,163.32",62.67%,62.30%,[],https://gmgn.ai/sol/address/FAsq1WfZ7zayvC5R2WgikpK4g7DeAoNJe1L6F4YsumTG
FLKBLTKyHjnPhnS2Voyw89QUuMGAYAo7uqZsiMVEUoHE,-1.25%,$-196.25,"$3,059.48",?,?,[],https://gmgn.ai/sol/address/FLKBLTKyHjnPhnS2Voyw89QUuMGAYAo7uqZsiMVEUoHE
FPVi15FoHQXv31S3iHXH3H5f9UNvntcwXfQ7NZiKpeJZ,-16.08%,"$-1,052.70","$-1,052.70",?,?,[],https://gmgn.ai/sol/address/FPVi15FoHQXv31S3iHXH3H5f9UNvntcwXfQ7NZiKpeJZ
FQw2RU8YU9nC2VsDh813jyZKWUyby6yFKvpor7aWucru,3.62%,$-338.08,$647.42,32.69%,27.61%,[],https://gmgn.ai/sol/address/FQw2RU8YU9nC2VsDh813jyZKWUyby6yFKvpor7aWucru
FVd9yxqsHe2n2prCVknAwJCqCvkWy9U6R3dp4g6QR31b,8.20%,$362.97,"$1,470.41",?,?,[],https://gmgn.ai/sol/address/FVd9yxqsHe2n2prCVknAwJCqCvkWy9U6R3dp4g6QR31b
FTyWWMYr9EokXY2mDEVbNtkqxKAQt9jw5MLui92Mp4At,42.77%,$-17.29,$39.93,?,?,[],https://gmgn.ai/sol/address/FTyWWMYr9EokXY2mDEVbNtkqxKAQt9jw5MLui92Mp4At
FRvYtXiZd1Gs1Z2W7ubtnr86uzMc7Wc4cn5uAKrJKnNH,32.89%,"$8,567.75","$36,523.07",73.58%,72.39%,[],https://gmgn.ai/sol/address/FRvYtXiZd1Gs1Z2W7ubtnr86uzMc7Wc4cn5uAKrJKnNH
FaRkLBsHvk3s6FwtMA9SprvHU2s1cVRGUuBTZM8LSGJS,-4.38%,$-423.29,$-764.45,41.18%,49.80%,[],https://gmgn.ai/sol/address/FaRkLBsHvk3s6FwtMA9SprvHU2s1cVRGUuBTZM8LSGJS
Fc719KgEtGsfq2gRG6RJd43qiyXrkuJzNPZPsYLUt4mZ,2.75%,"$3,420.11","$8,644.19",52.82%,51.62%,[],https://gmgn.ai/sol/address/Fc719KgEtGsfq2gRG6RJd43qiyXrkuJzNPZPsYLUt4mZ
FXHt4cdYAxwPMA7CwKJ4Dd9K1JC9Hcj5FHzcs5K98po8,-4.38%,$-585.88,$-585.88,?,?,[],https://gmgn.ai/sol/address/FXHt4cdYAxwPMA7CwKJ4Dd9K1JC9Hcj5FHzcs5K98po8
FfJYPGtV2U53XUSqhr1oncGKnnJj23cqdZ4FGENL4HFi,18.05%,"$2,983.34","$6,635.23",?,?,[],https://gmgn.ai/sol/address/FfJYPGtV2U53XUSqhr1oncGKnnJj23cqdZ4FGENL4HFi
Ffp83hCZMaemCKeyzgiAw5tPemV5i5fnqj8Kn7Q2E9u1,-7.03%,$-256.34,$-256.34,50.00%,50.00%,[],https://gmgn.ai/sol/address/Ffp83hCZMaemCKeyzgiAw5tPemV5i5fnqj8Kn7Q2E9u1
Fjv5rs4Dwh4snmGFfvsm6GMtr2qYnLQpAfsW7Qy6HEjW,4.82%,$-768.48,$-634.27,?,?,[],https://gmgn.ai/sol/address/Fjv5rs4Dwh4snmGFfvsm6GMtr2qYnLQpAfsW7Qy6HEjW
FYbzreH3mHaqiqwbJZLS2GvQTHzPSt4Dk4wB5GKMiKVW,40.31%,$579.36,"$2,546.62",73.08%,77.59%,[],https://gmgn.ai/sol/address/FYbzreH3mHaqiqwbJZLS2GvQTHzPSt4Dk4wB5GKMiKVW
Fk9gqZHciE4HKonoeVuF5AHgU8WJZPuuvm1HehSxmRJQ,13.78%,$89.74,"$-3,428.63",27.14%,25.26%,[],https://gmgn.ai/sol/address/Fk9gqZHciE4HKonoeVuF5AHgU8WJZPuuvm1HehSxmRJQ
Fkv9fSgqYhSorbPWLonbVSkdx4MtTQfuMYGhR1LVpAr2,45.23%,$541.12,"$20,499.19",27.69%,37.90%,[],https://gmgn.ai/sol/address/Fkv9fSgqYhSorbPWLonbVSkdx4MtTQfuMYGhR1LVpAr2
FmwJsAK9UMZedYMehLH8nkLLaS8m1kkGvjagbKDKQjRG,16.40%,"$3,459.74","$3,895.06",?,?,[],https://gmgn.ai/sol/address/FmwJsAK9UMZedYMehLH8nkLLaS8m1kkGvjagbKDKQjRG
Fr5179rUT69dDi5E53gHQhUmyi2aKWLqfBNs79GsmCaf,-29.16%,$-18.77,$-273.81,0.00%,35.71%,[],https://gmgn.ai/sol/address/Fr5179rUT69dDi5E53gHQhUmyi2aKWLqfBNs79GsmCaf
FrKkBp3UbtCdJCRJ9k7cruEA32UihvJxBhGFSDuJBz7k,-13.14%,"$-1,955.58","$-6,601.30",?,?,[],https://gmgn.ai/sol/address/FrKkBp3UbtCdJCRJ9k7cruEA32UihvJxBhGFSDuJBz7k
FtcBAZTttxaCGUTyWmvMm5fvvDRrawo2GrN8wYCnZY1f,1.50%,$234.06,"$1,955.24",?,?,[],https://gmgn.ai/sol/address/FtcBAZTttxaCGUTyWmvMm5fvvDRrawo2GrN8wYCnZY1f
FxUweaZLpmoF9BmgokLpYKF7q2mjXjZoXFWycHRiXjLK,-13.18%,"$-15,096.59","$-45,236.21",?,?,[],https://gmgn.ai/sol/address/FxUweaZLpmoF9BmgokLpYKF7q2mjXjZoXFWycHRiXjLK
Fp9ekLpzBQoekCA6jHVLoyPvhhcGWY76aQtMT3DbHxHc,0.98%,$0.58,$-194.07,?,23.08%,[],https://gmgn.ai/sol/address/Fp9ekLpzBQoekCA6jHVLoyPvhhcGWY76aQtMT3DbHxHc
G1pRtSyKuWSjTqRDcazzKBDzqEF96i1xSURpiXj3yFcc,64.89%,"$6,822.68","$202,358.51",32.88%,43.07%,['kol'],https://gmgn.ai/sol/address/G1pRtSyKuWSjTqRDcazzKBDzqEF96i1xSURpiXj3yFcc
GCjSipr8NYQpdLj42j6r3DWRFFQS1KvLBYTbtQoTaJcG,0.83%,$-61.51,$276.60,40.66%,45.17%,[],https://gmgn.ai/sol/address/GCjSipr8NYQpdLj42j6r3DWRFFQS1KvLBYTbtQoTaJcG
GKESRufMdZuEcPf5JzSVHk4K9dPc3UrrruYy2mPPji5V,-8.59%,$-398.81,$337.09,36.03%,38.76%,[],https://gmgn.ai/sol/address/GKESRufMdZuEcPf5JzSVHk4K9dPc3UrrruYy2mPPji5V
GSxzV7BiSa5TLZxdz5UsTcAiEX43a1rNRDhz86NBxgJK,6.44%,"$9,349.32","$-5,883.51",32.69%,22.12%,[],https://gmgn.ai/sol/address/GSxzV7BiSa5TLZxdz5UsTcAiEX43a1rNRDhz86NBxgJK
GWxwW1KL2LXEwG3rzd5X1LS5Sv56R4yjxQRNN6wrSByZ,13.30%,"$1,281.06","$1,281.06",70.37%,70.37%,['fresh_wallet'],https://gmgn.ai/sol/address/GWxwW1KL2LXEwG3rzd5X1LS5Sv56R4yjxQRNN6wrSByZ
GJFQ8Dd2mSkXoemdL6mkkSwf97S1H9yaYX5PR9RYu6Uk,-14.55%,$-45.82,$-45.82,34.48%,34.48%,[],https://gmgn.ai/sol/address/GJFQ8Dd2mSkXoemdL6mkkSwf97S1H9yaYX5PR9RYu6Uk
GRiKNMoXtG1rtX1HHEkVwUxtV2PUJdaVv3NxpZ1C3g4M,-15.74%,"$-4,313.69","$-4,313.69",32.84%,32.84%,[],https://gmgn.ai/sol/address/GRiKNMoXtG1rtX1HHEkVwUxtV2PUJdaVv3NxpZ1C3g4M
Gau6WYPgPmg8L8q8gEXwbko6s54tEBSEDVLpvgCZsAbN,7.44%,$868.93,"$3,122.02",47.17%,47.32%,[],https://gmgn.ai/sol/address/Gau6WYPgPmg8L8q8gEXwbko6s54tEBSEDVLpvgCZsAbN
GZ299cBpXykPEqB5Nfryv1GaLWZdK5VK3En91icwRYF5,-2.13%,$-427.90,$-336.96,?,?,[],https://gmgn.ai/sol/address/GZ299cBpXykPEqB5Nfryv1GaLWZdK5VK3En91icwRYF5
GbmxzwgSCF2FQNJNuyYSKuVSnSabv2MCpEPJKg2XA1dr,14.21%,$-173.29,$-173.29,34.00%,34.00%,['fresh_wallet'],https://gmgn.ai/sol/address/GbmxzwgSCF2FQNJNuyYSKuVSnSabv2MCpEPJKg2XA1dr
GPNxwYh73yyzCi6CzmXJc98P6XQp2vfx1whGhu1HsUtv,0.75%,$562.33,"$5,564.62",?,?,[],https://gmgn.ai/sol/address/GPNxwYh73yyzCi6CzmXJc98P6XQp2vfx1whGhu1HsUtv
GN8oYVMpP2gCw1CpRrXUPueCMiDoNiYCHawYeH3oVabP,5.86%,"$2,675.87","$32,281.14",39.43%,39.91%,[],https://gmgn.ai/sol/address/GN8oYVMpP2gCw1CpRrXUPueCMiDoNiYCHawYeH3oVabP
GnYSpjgfEDvPADhW1K49VijzvFQXQ1KaeHBzEQW7QX8,7.14%,"$2,058.58","$2,058.58",?,?,[],https://gmgn.ai/sol/address/GnYSpjgfEDvPADhW1K49VijzvFQXQ1KaeHBzEQW7QX8
Gttpu2R29BQUmmZn1nS6KgLms1yT9NUekXdzzmXtjiSA,8.67%,"$4,485.27","$13,961.33",30.21%,31.33%,[],https://gmgn.ai/sol/address/Gttpu2R29BQUmmZn1nS6KgLms1yT9NUekXdzzmXtjiSA
Gu2okE2L49e6MfVdUyx6CbqGAKKLyWdFXpECgH2Qz19L,24.47%,"$10,628.87","$10,628.87",18.60%,18.60%,[],https://gmgn.ai/sol/address/Gu2okE2L49e6MfVdUyx6CbqGAKKLyWdFXpECgH2Qz19L
GnicXtGh6znMbeMCqANmJaVL6GjcGeT86DGKmEWmtE2s,6.19%,$-70.07,$-95.50,32.00%,30.00%,[],https://gmgn.ai/sol/address/GnicXtGh6znMbeMCqANmJaVL6GjcGeT86DGKmEWmtE2s
GvfMDUdumNPY5sfZVXPuD5eTXFHMot3VB4Sr9tTuB8ZD,6.78%,$47.19,"$2,746.84",40.05%,16.30%,[],https://gmgn.ai/sol/address/GvfMDUdumNPY5sfZVXPuD5eTXFHMot3VB4Sr9tTuB8ZD
GxaeXcakf96MGvenQZssRNjHaNDGLSu2REq2xpKoTYr,10.09%,"$30,809.03","$35,676.02",74.02%,73.05%,[],https://gmgn.ai/sol/address/GxaeXcakf96MGvenQZssRNjHaNDGLSu2REq2xpKoTYr
H1RzgQhep7bxKgqiBTd2kdyPJQ5wbiGN7BqUMGFNqg2W,27.59%,$135.98,"$4,348.32",48.39%,53.33%,[],https://gmgn.ai/sol/address/H1RzgQhep7bxKgqiBTd2kdyPJQ5wbiGN7BqUMGFNqg2W
GvpCLExUMXSWuvHvS5ZGgabLYvDd88ezoko7sSeetDot,-10.22%,"$-4,529.72","$-20,207.64",31.30%,31.11%,[],https://gmgn.ai/sol/address/GvpCLExUMXSWuvHvS5ZGgabLYvDd88ezoko7sSeetDot
HDk6pDqC71kYCVg2YNGq89NCNitLxkzTU28rTqYotHAG,-9.24%,$105.83,$-827.27,?,?,[],https://gmgn.ai/sol/address/HDk6pDqC71kYCVg2YNGq89NCNitLxkzTU28rTqYotHAG
H1Skeqip1QkjUNGK5NXPTYajbGhz7md4K6omZsWEALTH,10.48%,$-149.39,"$7,363.50",35.82%,41.63%,[],https://gmgn.ai/sol/address/H1Skeqip1QkjUNGK5NXPTYajbGhz7md4K6omZsWEALTH
H6Nv3rv5ZTsCEDdgUSpgkpeMxxpytSLX5fBMrjJCY3Mq,-10.21%,"$-1,101.75","$-1,101.75",43.90%,43.90%,['fresh_wallet'],https://gmgn.ai/sol/address/H6Nv3rv5ZTsCEDdgUSpgkpeMxxpytSLX5fBMrjJCY3Mq
HF2Lw2tYs4B3y1iqz6iw2f4wTjrn14KppvAezcm7TAT3,15.88%,"$16,414.55","$86,463.47",41.86%,38.65%,[],https://gmgn.ai/sol/address/HF2Lw2tYs4B3y1iqz6iw2f4wTjrn14KppvAezcm7TAT3
Hb1vXmQLb9EUUHboXg661J8PCr2aJsgTeko9B81WPGTq,5.53%,"$6,144.01","$8,296.63",?,?,[],https://gmgn.ai/sol/address/Hb1vXmQLb9EUUHboXg661J8PCr2aJsgTeko9B81WPGTq
HfcKNq3i2fpd3Y2rWykDhF9bveiDgFvsYZVGATtbv1QL,22.83%,"$-2,592.58",$-70.92,22.22%,35.01%,[],https://gmgn.ai/sol/address/HfcKNq3i2fpd3Y2rWykDhF9bveiDgFvsYZVGATtbv1QL
HYgc9Fu9bUwmNRh5CAKwgzujkYNjEqvrAMg8dS9qogu3,11.84%,"$2,939.63","$4,250.62",?,?,[],https://gmgn.ai/sol/address/HYgc9Fu9bUwmNRh5CAKwgzujkYNjEqvrAMg8dS9qogu3
HdPdw4rFNGMhUo3KFc7yyuKTfpcPYPnXZKc7w3b4kwic,-2.10%,$72.52,$-77.32,?,?,[],https://gmgn.ai/sol/address/HdPdw4rFNGMhUo3KFc7yyuKTfpcPYPnXZKc7w3b4kwic
HrjvAsADsP67ZDtdzJFctXJ2UYxSWNiALR6qPQdFbRuf,9.67%,"$3,033.64","$9,051.58",65.31%,52.77%,[],https://gmgn.ai/sol/address/HrjvAsADsP67ZDtdzJFctXJ2UYxSWNiALR6qPQdFbRuf
HaLeeDAwrM61Rcfw7qx8ksJ3MmTzGYYBgV4rkatMysGG,-9.04%,$-245.35,$-245.35,?,?,[],https://gmgn.ai/sol/address/HaLeeDAwrM61Rcfw7qx8ksJ3MmTzGYYBgV4rkatMysGG
HuwLeDSpV8PPfig9usvkBP2GPCqLzo9rcCPdVp1dvu8C,15.33%,"$1,748.80","$9,353.79",25.71%,35.51%,[],https://gmgn.ai/sol/address/HuwLeDSpV8PPfig9usvkBP2GPCqLzo9rcCPdVp1dvu8C
HvHwhtzegTKRnSpnC5YWH8wh2kvfE4KJ3awLYBRzAqZE,-0.09%,$-821.23,$-42.85,30.86%,28.33%,[],https://gmgn.ai/sol/address/HvHwhtzegTKRnSpnC5YWH8wh2kvfE4KJ3awLYBRzAqZE
J1YpUnsC85hUPaA6yJVsTPcVfnBA6Y51iaJ9J3faTBMX,-17.38%,"$-2,113.45","$-11,263.80",?,?,[],https://gmgn.ai/sol/address/J1YpUnsC85hUPaA6yJVsTPcVfnBA6Y51iaJ9J3faTBMX
HzYgRfLmh3EpSrqc8dc6WgQCpnPHrNEzx78PNMZrn5mo,-4.16%,"$-1,752.32","$-38,945.36",?,?,[],https://gmgn.ai/sol/address/HzYgRfLmh3EpSrqc8dc6WgQCpnPHrNEzx78PNMZrn5mo
S7fY2zn9hzXoN9jmXZv7AS6Y7a68G6k3tzd5DrsM9aH,-25.15%,$-257.72,$-257.72,?,?,[],https://gmgn.ai/sol/address/S7fY2zn9hzXoN9jmXZv7AS6Y7a68G6k3tzd5DrsM9aH
JASNTquz6YaRD3cQ23uhSBzEiXCjbNs6X749NbvvZftx,6.28%,$-719.66,"$7,616.63",42.59%,55.43%,[],https://gmgn.ai/sol/address/JASNTquz6YaRD3cQ23uhSBzEiXCjbNs6X749NbvvZftx
RgyXbqPzr2qqLJq8oRhZh4fFGuxPrPmysfiXqmjMET5,2.16%,$805.60,$718.97,?,?,[],https://gmgn.ai/sol/address/RgyXbqPzr2qqLJq8oRhZh4fFGuxPrPmysfiXqmjMET5
ToGndKxr9B31xD3wyra9AtPhKVbJCrF1CAtZurLFHgW,26.37%,"$6,782.78","$25,506.10",37.81%,38.42%,[],https://gmgn.ai/sol/address/ToGndKxr9B31xD3wyra9AtPhKVbJCrF1CAtZurLFHgW
M6EfgvAeYu61Hdxo76wiadNGvRG6JDmbF1xjSKDm63b,-19.06%,$-863.08,"$-1,461.03",?,?,[],https://gmgn.ai/sol/address/M6EfgvAeYu61Hdxo76wiadNGvRG6JDmbF1xjSKDm63b
J9ZvZzYCCgLmffiX2mpFySG6KCLJPCSaKciZ5NivH6aU,32.03%,$-434.68,$-649.26,?,?,[],https://gmgn.ai/sol/address/J9ZvZzYCCgLmffiX2mpFySG6KCLJPCSaKciZ5NivH6aU
T8LtHWi48wxkwQafvSfTSfh8ubLGMC7zcPYS6RCKxyB,-3.87%,$-136.84,$-136.84,?,?,[],https://gmgn.ai/sol/address/T8LtHWi48wxkwQafvSfTSfh8ubLGMC7zcPYS6RCKxyB
U53gmRk5wv5XvFJbybj1bFS7UxkZ7vqZ6wAqTFQDPEa,7.14%,"$-1,856.51","$8,352.74",?,?,[],https://gmgn.ai/sol/address/U53gmRk5wv5XvFJbybj1bFS7UxkZ7vqZ6wAqTFQDPEa
dexvcNUf31JyHkxcsceWpqGErhXe5Eu5QWLe993m1Pu,-0.59%,"$-2,862.93","$-4,559.43",44.24%,44.14%,[],https://gmgn.ai/sol/address/dexvcNUf31JyHkxcsceWpqGErhXe5Eu5QWLe993m1Pu
XGRQj7rcwu7mWSg2kvYqeGpEWWLEtdvmhCufqNR1eS2,14.79%,"$5,186.75","$14,247.60",59.46%,61.54%,[],https://gmgn.ai/sol/address/XGRQj7rcwu7mWSg2kvYqeGpEWWLEtdvmhCufqNR1eS2
b8iUZsRwdyEa2jEYfBuT3jM3v7zueaTuSBdiirtiC8U,-3.45%,"$-1,391.36","$-4,398.45",39.13%,35.40%,[],https://gmgn.ai/sol/address/b8iUZsRwdyEa2jEYfBuT3jM3v7zueaTuSBdiirtiC8U
ewKUDtQCxdYX8YQMBPTPc6qGiaX6PBF5ocDGLTy5DDg,7.81%,"$1,051.47","$1,795.92",39.53%,42.29%,[],https://gmgn.ai/sol/address/ewKUDtQCxdYX8YQMBPTPc6qGiaX6PBF5ocDGLTy5DDg
f4FmcovpmcmsMkWoNuR8axDL8inWPsfnjmEZ7v6G2rn,12.52%,"$3,518.05","$3,982.02",?,?,[],https://gmgn.ai/sol/address/f4FmcovpmcmsMkWoNuR8axDL8inWPsfnjmEZ7v6G2rn
nTwhBRNNxxXcKR7F4Yi7g83fADzJiy3BXXv6epwyHeh,-13.81%,"$-3,255.11","$-4,265.45",31.75%,32.43%,[],https://gmgn.ai/sol/address/nTwhBRNNxxXcKR7F4Yi7g83fADzJiy3BXXv6epwyHeh
wXJHCckwjoPvM9JnsMAJYPM9tTJYtzwXQCkWkFAqLwr,2.91%,"$1,401.72","$4,324.33",30.39%,33.07%,[],https://gmgn.ai/sol/address/wXJHCckwjoPvM9JnsMAJYPM9tTJYtzwXQCkWkFAqLwr
vxuBeepwxDpM2D4o6UoZVZkBQSTWEfp91Dcum1Sw3gq,-12.98%,$-443.98,"$-1,007.24",48.04%,46.53%,[],https://gmgn.ai/sol/address/vxuBeepwxDpM2D4o6UoZVZkBQSTWEfp91Dcum1Sw3gq
wv68DwfsBQDgQvLuePRLCTjbQ56iK4YP5mq3nNoFtkM,-15.25%,"$-3,846.92","$-13,522.59",?,?,[],https://gmgn.ai/sol/address/wv68DwfsBQDgQvLuePRLCTjbQ56iK4YP5mq3nNoFtkM
ySWAzzXVTGUwZzMYJvQaf4hYNDQyKSeFxRn3Nz9Fx3r,-29.79%,$-69.34,$-69.34,100.00%,100.00%,[],https://gmgn.ai/sol/address/ySWAzzXVTGUwZzMYJvQaf4hYNDQyKSeFxRn3Nz9Fx3r
tDhAa8FJrg2jf1io8sudMszVfcHBpjjVCHv8ThKpkE4,1.79%,"$1,081.02",$951.88,50.41%,43.33%,[],https://gmgn.ai/sol/address/tDhAa8FJrg2jf1io8sudMszVfcHBpjjVCHv8ThKpkE4
